date,pagePath,source,medium,adContent,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
2/10/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Presque Isle,1,0,9,0,0,1,0,0
2/10/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,New York,Endicott,1,0,20,0,0,1,0,0
2/10/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Rhode Island,Providence,1,0,66,0,0,1,0,0
2/10/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Markazi,Arak,1,0,0,0,0,1,1,0
2/11/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,(not set),(not set),1,0,0,0,0,1,1,0
2/11/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Orono,1,0,7,0,0,1,0,0
2/11/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Rumford,1,0,22,0,0,1,0,0
2/11/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,New Hampshire,Conway,1,0,68,0,0,2,0,0
2/11/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,California,Clearlake,1,0,16,0,0,1,0,0
2/11/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Chandigarh,Chandigarh,1,0,65,0,0,2,0,0
2/11/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,Rockland,1,0,10,0,0,2,1,0
2/12/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,Master's Degree Program,FY2019_Graduate,Maine,Bangor,1,0,12,0,0,1,0,0
2/12/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,Univ. of Southern Maine,FY2019_Graduate,Sindh,Karachi,1,0,34,0,0,1,0,0
2/12/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,New Hampshire,Rochester,1,0,9,0,0,1,0,0
2/12/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,Topsham,1,0,9,0,0,1,0,0
2/12/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,Windham,2,0,13,1,0,2,1,467
2/12/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,York,1,1,0,1,0,1,1,0
2/12/2019,/honors/thank-you-dara-jeanne-kaufman-fund,google,organic,(not set),(not set),Maine,Portland,1,1,0,1,1,1,1,0
2/13/2019,/everyone-high-school-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,(not set),(not set),1,1,0,1,0,1,1,0
2/14/2019,/everyone-graduate-degree-seekers/thank-you,google,cpc,Graduate Degree Programs,FY2019_Graduate,Addis Ababa,Addis Ababa,1,0,29,0,0,1,0,0
2/14/2019,/everyone-high-school-students/thank-you,(direct),(none),(not set),(not set),Tennessee,Memphis,17,17,0,17,17,17,17,0
2/14/2019,/everyone-high-school-students/thank-you,0.0.0.0:4444,referral,(not set),(not set),Tennessee,Memphis,1,1,0,1,1,1,1,0
2/14/2019,/everyone-high-school-students/thank-you,10.191.54.222:4444,referral,(not set),(not set),Tennessee,Memphis,1,1,0,1,1,1,1,0
2/14/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,England,Birstall,1,0,23,0,0,1,0,0
2/14/2019,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,Waterboro,1,0,21,0,0,1,0,0
2/15/2019,/everyone-high-school-students/thank-you,google,cpc,Bachelor Degree Programs,FY2019_Undergrad,(not set),Monrovia,1,0,0,0,0,1,1,0
2/15/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Maine,Bucksport,1,1,0,1,0,1,1,0
2/15/2019,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,North Carolina,Greenville,1,0,0,0,0,1,1,0
