Ad Content,Source / Medium,Date,Unique Pageviews,Sessions,Exits,Entrances,Bounces,Time on Page,Session Duration
FA20_BR_DBM_DISP_TL_UG_S_6,DBM / Display,20190404,1,1,1,1,0,0:00:02,0:00:02
FA20_BR_DBM_DISP_TL_UG_S_6,DBM / Display,20190405,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_6,DBM / Display,20190407,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_6,DBM / Display,20190408,1,1,1,1,0,0:08:47,0:08:47
FA20_BR_DBM_DISP_TL_UG_S_6,DBM / Display,20190410,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_6,DBM / Display,20190414,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_6,DBM / Display,20190417,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_6,DBM / Display,20190418,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_6,DBM / Display,20190422,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_6,DBM / Display,20190424,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190308,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190311,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190317,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190318,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190319,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190322,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190329,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190402,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190404,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190408,1,1,1,1,0,0:00:04,0:00:04
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190409,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190410,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190412,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190418,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190420,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190423,1,1,1,1,0,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190425,1,1,1,1,0,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_7,DBM / Display,20190428,1,1,1,1,0,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_8,DBM / Display,20190308,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_8,DBM / Display,20190320,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_8,DBM / Display,20190321,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_8,DBM / Display,20190324,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_8,DBM / Display,20190414,1,1,1,1,0,0:00:00,0:00:00
FA20_BR_DBM_DISP_TL_UG_S_8,DBM / Display,20190423,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_1,Facebook / Carousel,20190314,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_1,Facebook / Carousel,20190322,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_1,Facebook / Carousel,20190323,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_1,Facebook / Carousel,20190324,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_1,Facebook / Carousel,20190325,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_1,Facebook / Carousel,20190327,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_1,Facebook / Carousel,20190331,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_1,Facebook / Carousel,20190402,1,1,1,1,1,0:00:00,0:00:00
FA20_BR_FB_CAR_TL_UG_I_1,Facebook / Carousel,20190407,1,1,1,1,1,0:00:00,0:00:00
