date,pagePath,source,medium,adContent,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
09/16/2018,/everyone-graduate-degree-seekers/thank-you,google,cpc,Master's Degree Program,FY2019_Graduate,Istanbul,Istanbul,1,0,139,0,0,1,0,0
09/17/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Maine,York,1,0,27,0,0,1,0,0
09/18/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,New Hampshire,Durham,1,0,19,0,0,1,0,0
09/18/2018,/everyone-high-school-students/thank-you,Spotify,programmatic,fa19_br_spo_aud_all_uni_s_3,FY2019,New York,Getzville,1,0,0,0,0,1,1,0
09/18/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer College,FY2019_Transfer,Massachusetts,Haverhill,1,0,10,0,0,1,0,0
09/21/2018,/everyone-degree-completion/thank-you,LinkedIn,InMail,fa19_ig_li_text_wa_dc_s_1,FY2019_DegreeCompletion,New Hampshire,Dover,1,0,13,0,0,1,0,0
09/23/2018,/everyone-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Online,Maine,Old Orchard Beach,1,0,16,0,0,1,0,0
09/23/2018,/everyone-transfer-students/thank-you,google,cpc,Transfer Your Credits,FY2019_Transfer,New Hampshire,Claremont,1,0,7,0,0,1,0,0
09/24/2018,/everyone-high-school-students/thank-you,Facebook,Page Link,FA19_IG_FB_DISP_TL_UG_S_3,FY2019_Undergrad,Massachusetts,Cambridge,1,0,0,0,0,1,1,0
09/25/2018,/everyone-graduate-degree-seekers/thank-you,Spotify,programmatic,fa19_br_spo_aud_all_uni_s_3,FY2019,New York,Getzville,1,0,193,0,0,1,0,0
09/25/2018,/everyone-online-degree-seekers/thank-you,Spotify,programmatic,fa19_br_spo_aud_all_uni_s_3,FY2019,New York,Getzville,1,0,301,1,0,3,0,866
09/27/2018,/everyone-graduate-degree-seekers/thank-you,google,cpc,Graduate Degree Programs,FY2019_Graduate,Maine,Brunswick,1,0,0,0,0,1,1,0
09/27/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Davao Region,Davao City,1,0,42,0,0,1,0,0
09/27/2018,/everyone-online-degree-seekers/thank-you,Google,CPC,Biology,FY2019_Graduate,Maine,Lewiston,1,0,42,1,0,2,1,42
09/28/2018,/everyone-online-degree-seekers/thank-you,Google,CPC,Biology,FY2019_Graduate,Maine,Lewiston,1,0,53,0,0,2,1,0
09/29/2018,/everyone-graduate-degree-seekers/thank-you,Instagram,PageLink,FA19_IG_IG_VID_CU_GR_D_1,FY2019_Graduate,Maine,Gorham,1,0,0,0,0,1,1,0
09/29/2018,/everyone-high-school-students/thank-you,Instagram,IGStories,FA19_IG_IG_VID_TL_UG_D_3,FY2019_Undergrad,Massachusetts,Boston,1,0,12,0,0,1,0,0
10/01/2018,/everyone-degree-completion/thank-you,Facebook,Page Link,FA19_IG_FB_DISP_WA_DC_S_2,FY2019_DegreeComp,Maine,Portland,1,0,0,0,0,1,1,0
10/02/2018,/everyone-high-school-students/thank-you,Snapchat,TopSnap,fa19_ig_sc_vid_tl_ug_d_1,FY2019_Undergrad,Massachusetts,Boston,1,0,40,0,0,1,0,0
10/03/2018,/everyone-degree-completion/thank-you,LinkedIn,InMail,fa19_ig_li_text_wa_dc_s_1,FY2019_DegreeCompletion,Maine,Hermon,1,0,21,0,0,2,0,0
10/05/2018,/everyone-online-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2019_Online,California,Long Beach,1,0,19,0,0,1,0,0
10/06/2018,/everyone-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2019_Undergrad,Illinois,Chicago,1,0,0,0,0,1,1,0
10/07/2018,/everyone-high-school-students/thank-you,Instagram,IGStories,FA19_IG_IG_VID_HS_UG_D_4,FY2019_Undergrad,Maine,Lewiston,1,0,0,0,0,1,1,0
