date,pagePath,source,medium,adContent,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration,Code_Audience
09/09/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Arkansas,Bentonville,1,0,10,0,0,1,0,0,HS - Thank You
09/09/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,New Hampshire,Whitefield,2,0,123,1,0,3,1,122,HS - Thank You
09/09/2017,/welcome-high-school-students/thank-you,google,cpc,WA_Option2,FY2018_Gmail,Maine,Bangor,1,0,49,0,0,1,0,0,HS - Thank You
09/10/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Maine,Presque Isle,1,0,30,0,0,1,0,0,HS - Thank You
09/11/2017,/welcome-degree-completion-seekers/thank-you,google,cpc,WA_Option2,FY2018_Gmail,Maine,Portland,1,0,0,0,0,1,1,0,DC - Thank You
09/12/2017,/welcome-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Graduate,Virginia,Hampton,1,0,0,0,0,1,1,0,GR - Thank You
09/12/2017,/welcome-graduate-degree-seekers/thank-you,google,cpc,WA_Option3,FY2018_Gmail,Maine,Stetson,1,0,11,0,0,1,0,0,GR - Thank You
09/12/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Maine,Hampden,1,0,22,0,0,1,0,0,CU - Thank You
09/12/2017,/welcome-transfer-students/thank-you,google,cpc,WA_Option2,FY2018_Gmail,Maine,Auburn,1,0,12,0,0,1,0,0,CU - Thank You
09/13/2017,/welcome-high-school-students/thank-you,Facebook,PageLink,Undergrad_ME_HS,FY2018_Undergrad,Maine,Buxton,1,0,0,0,0,1,1,0,HS - Thank You
09/14/2017,/welcome-graduate-degree-seekers/thank-you,google,cpc,{KeyWord:University of Southern Maine},FY2018_Graduate,Maine,Saco,1,0,13,0,0,1,0,0,GR - Thank You
09/14/2017,/welcome-graduate-degree-seekers/thank-you,google,cpc,WA_Option3,FY2018_Gmail,Maine,Cape Elizabeth,1,0,4,0,0,1,0,0,GR - Thank You
09/14/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Connecticut,Bloomfield,1,0,0,0,0,1,1,0,CU - Thank You
09/16/2017,/begin/thank-you,TargetX,Email,SearchEmail4,FY17_Search_4J,Massachusetts,Newton,1,1,0,1,0,1,1,0,NA
09/17/2017,/welcome-high-school-students/thank-you,Facebook,PageLink,Undergrad_ME_HS,FY2018_Undergrad,Massachusetts,Boston,1,0,0,0,0,1,1,0,HS - Thank You
09/17/2017,/welcome-online-degree-seekers/thank-you,google,cpc,WA_Option2,FY2018_Gmail,Maine,Ellsworth,1,0,11,0,0,1,0,0,OL - Thank You
09/17/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer Your Credits,FY2018_Transfer,Maine,Brunswick,1,0,0,0,0,1,1,0,CU - Thank You
09/18/2017,/begin/thank-you,TargetX,Email,SearchEmail7,FY17_Search_4J,Massachusetts,Woburn,1,0,0,0,0,1,1,0,NA
09/19/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Eastern Cape,Port Elizabeth,1,0,0,0,0,1,1,0,HS - Thank You
09/19/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Idaho,Boise,1,0,66,0,0,3,0,0,CU - Thank You
09/19/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer Your Credits,FY2018_Transfer,Maine,Orono,1,0,24,0,0,1,0,0,CU - Thank You
09/20/2017,/welcome-graduate-degree-seekers/thank-you,google,cpc,University of Southern Maine,FY2018_Graduate,Maine,Sanford,1,0,572,0,0,1,0,0,GR - Thank You
09/20/2017,/welcome-graduate-degree-seekers/thank-you,google,cpc,WA_Option3,FY2018_Gmail,Maine,Standish,1,0,27,0,0,2,1,0,GR - Thank You
09/20/2017,/welcome-high-school-students/thank-you,google,cpc,Undergraduate Degree Programs,FY2018_Undergrad,Florida,Orlando,1,0,86,0,0,1,0,0,HS - Thank You
09/20/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,New York,New York,1,0,0,0,0,1,1,0,CU - Thank You
09/21/2017,/welcome-high-school-students/thank-you,Facebook,PageLink,Undergrad_OOS_HS,FY2018_Undergrad,Rhode Island,Providence,1,0,0,0,0,1,1,0,HS - Thank You
09/21/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Maharashtra,Pune,1,0,36,0,0,1,0,0,CU - Thank You
09/22/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,Maine,Lewiston,1,0,167,0,0,1,0,0,CU - Thank You
09/22/2017,/welcome-transfer-students/thank-you,google,cpc,Transfer College,FY2018_Transfer,New Hampshire,Newton,1,0,24,0,0,1,0,0,CU - Thank You
