Date,landingPagePath,source,medium,Ad,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
2/22/2019,/visit?fbclid=IwAR361t68eSpgNikg_ZyHyKX9Ybdd2uWIWQJJ6IhhgbVB352C4tvUeD9DLhY,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_1_RT,FY2020_Undergrad,California,Los Angeles,1,1,0,1,1,1,1,0
2/22/2019,/visit?fbclid=IwAR3B5NHqTVmwW43oJ6jjIadVtwCpJZIHgVIfL0eQYOU8LFqBog1jUwHl6Hk,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_1_RT,FY2020_Undergrad,New York,New York,1,1,0,1,1,1,1,0
2/22/2019,/visit?fbclid=IwAR3mnN38RgbH2JMIyhUw6ae3pEx5paaGcvlFlFyHyF8Qhn8bzxFx14PR_Nc,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_1_RT,FY2020_Undergrad,Arizona,Phoenix,1,1,0,1,1,1,1,0
2/22/2019,/visit?fbclid=IwAR3v00QGCcPWqsVNFKHR37gOhLrw2rcDUELh2A3dAyTijaqaiIYoW_g6E3Y,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_2,FY2020_Undergrad,New York,New York,1,1,0,1,1,1,1,0
2/22/2019,/visit?pp=0&epik=dj0yJnU9dmtLNGI5aGtKOXVLX3NJOG45WXlMT0ROdmx5dmdTd2cmbj1PUk80clB4MTczaVowT2dNMzgwMmp3JnQ9QUFBQUFGeHdtWWM,PINTEREST,TRAFFICPIN,FA20_ER_PIN_DISP_HS_UG_S_1,FY2019_Undergrad,Maine,Falmouth,1,1,0,1,1,1,1,0
2/22/2019,/visit?pp=0&epik=dj0yJnU9RmNIMXVtcG52WGNYYUJiZ2ltblExS2V5NGNkdEtVYVAmbj1BdWhxTGdDQm5Jb1NPMFNhLTZqbGdnJnQ9QUFBQUFGeHdvRm8,PINTEREST,TRAFFICPIN,FA20_ER_PIN_DISP_HS_UG_S_4,FY2019_Undergrad,Maine,Harpswell,1,1,0,1,1,1,1,0
2/23/2019,/visit,EN.M.WIKIPEDIA.ORG,REFERRAL,(NOT SET),(not set),Vermont,Essex,1,0,62,1,0,2,1,62
2/23/2019,/visit,FB/IG,CAROUSEL,FA20_ER_FB_CAR_HS_UG_I_1,FY2020_UnderGrad,Massachusetts,Boston,1,1,0,1,1,1,1,0
2/23/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_1,FY2020_Undergrad,Maine,Lincoln,1,1,0,1,1,1,1,0
2/23/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_1,FY2020_Undergrad,Virginia,Ashburn,1,1,0,1,1,1,1,0
2/23/2019,/visit,FB/IG,LINKAD,FA20_ER_FB_VID_HS_UG_D_2,FY2020_Undergrad,New Hampshire,Barrington,1,1,0,1,1,1,1,0
2/23/2019,/visit,GOOGLE,ORGANIC,(NOT SET),(not set),New Mexico,Albuquerque,3,0,14,1,0,3,1,14
2/23/2019,/visit,FB/IG,REFERRAL,(NOT SET),(not set),Maine,Saint George,1,1,0,1,1,1,1,0
2/23/2019,/visit,PINTEREST,TRAFFICPIN,FA20_ER_PIN_DISP_HS_UG_S_1,FY2019_Undergrad,Virginia,Ashburn,1,1,0,1,1,1,1,0
2/23/2019,/visit,PINTEREST,TRAFFICPIN,FA20_ER_PIN_DISP_HS_UG_S_3,FY2019_Undergrad,Virginia,Ashburn,1,1,0,1,1,1,1,0
2/23/2019,/visit,PINTEREST,TRAFFICPIN,FA20_ER_PIN_DISP_HS_UG_S_4,FY2019_Undergrad,Virginia,Ashburn,2,2,0,2,2,2,2,0
2/23/2019,/visit?fbclid=IwAR1t4M45A-YGAdzlWMfjs2vOGYNSDx-uMhRIrdCO4a2wUMkWxKZ5VbNM6Wg,FB/IG,REFERRAL,(NOT SET),(not set),Connecticut,Plainville,1,1,0,1,1,1,1,0
2/23/2019,/visit?fbclid=IwAR1xp620R3weewLstILz3UYqj82XcTViTnbm_hPslsmiBqtRqg0hKlc5S44,FB/IG,LINKAD,FA20_ER_FB_DISP_HS_UG_S_2,FY2020_Undergrad,North Carolina,Greenville,1,1,0,1,1,1,1,0
