Date,landingPagePath,source,medium,Ad,campaign,region,city,uniquePageviews,bounces,timeOnPage,sessions,newUsers,pageviews,exits,sessionDuration
02/27/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,4,0,91,1,0,4,1,90
03/01/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Colorado,Lakewood,2,2,0,2,1,2,2,0
03/02/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Fall River,1,1,0,1,1,1,1,0
03/04/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Plainville,1,1,0,1,1,1,1,0
03/05/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Orono,1,1,0,1,1,1,1,0
03/06/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Natick,1,1,0,1,0,1,1,0
03/10/2018,/office-of-admissions/new-england-regional-tuition-program,(DIRECT),(NONE),(NOT SET),(not set),New Hampshire,Nashua,1,1,0,1,1,1,1,0
03/10/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Illinois,Northbrook,3,0,1314,1,1,4,1,1314
03/11/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Brockton,1,1,0,1,1,1,1,0
03/16/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,2,0,314,1,1,3,1,313
03/16/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Tennessee,(not set),1,1,0,1,1,1,1,0
03/17/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Holliston,4,0,356,1,1,8,1,356
03/20/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Hartford,2,0,2,1,0,2,1,2
03/20/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,New Milford,1,1,0,1,0,1,1,0
03/20/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Bridgewater,1,1,0,1,1,1,1,0
03/25/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),California,San Jose,2,0,1580,1,0,2,1,1580
03/29/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Ohio,Evendale,1,1,0,1,1,1,1,0
03/30/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Massachusetts,Boston,1,1,0,1,1,1,1,0
04/01/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Rhode Island,North Kingstown,8,0,659,1,0,13,1,657
04/02/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Vermont,Colchester,2,0,42,1,1,2,1,42
04/03/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Maine,Portland,2,0,52,1,1,2,1,52
04/04/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Rhode Island,Woonsocket,3,0,97,1,0,3,1,97
04/05/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Granby,2,0,29,1,0,2,1,29
04/06/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),South Carolina,Conway,1,1,0,1,0,1,1,0
04/07/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),Connecticut,Avon,2,0,52,1,0,3,1,52
04/07/2018,/office-of-admissions/new-england-regional-tuition-program,GOOGLE,ORGANIC,(NOT SET),(not set),New York,New York,1,1,0,1,0,1,1,0
